Epochs: 1
------------------------------------------------------------------------
Ep  1 | train_loss 3.6361, acc 0.0408 (104.9s) | val_loss 3.5104, acc 0.0531 (32.1s) | lr -5.263e-06 | updates 115/115
------------------------------------------------------------------------
Log saved to: /mnt/drive7/projects/my_project/RACE_Attention/trial_exact_flash_K2_L5_M1_VIT.txt
Epochs: 150
------------------------------------------------------------------------
Ep 40 | train_loss 2.1257, acc 0.3889 (104.8s) | val_loss 3.0184, acc 0.2219 (32.1s) | lr 4.444e-04 | updates 4600/17250
Ep 41 | train_loss 2.0752, acc 0.4000 (104.9s) | val_loss 3.0152, acc 0.2262 (32.1s) | lr 4.404e-04 | updates 4715/17250
Ep 42 | train_loss 2.0488, acc 0.4054 (104.8s) | val_loss 3.0691, acc 0.2249 (32.1s) | lr 4.363e-04 | updates 4830/17250
Ep 43 | train_loss 1.9997, acc 0.4139 (104.9s) | val_loss 3.0274, acc 0.2262 (32.0s) | lr 4.323e-04 | updates 4945/17250
Ep 44 | train_loss 1.9937, acc 0.4207 (104.9s) | val_loss 3.0645, acc 0.2175 (32.0s) | lr 4.282e-04 | updates 5060/17250
Ep 45 | train_loss 1.9480, acc 0.4310 (104.9s) | val_loss 3.1040, acc 0.2202 (32.1s) | lr 4.242e-04 | updates 5175/17250
Ep 46 | train_loss 1.8867, acc 0.4454 (104.8s) | val_loss 3.0240, acc 0.2341 (32.1s) | lr 4.202e-04 | updates 5290/17250
Ep 47 | train_loss 1.8323, acc 0.4666 (104.9s) | val_loss 3.1368, acc 0.2333 (32.2s) | lr 4.161e-04 | updates 5405/17250
Ep 48 | train_loss 1.7821, acc 0.4899 (104.9s) | val_loss 3.0949, acc 0.2401 (32.2s) | lr 4.121e-04 | updates 5520/17250
Ep 49 | train_loss 1.7454, acc 0.4845 (105.0s) | val_loss 3.1177, acc 0.2309 (32.1s) | lr 4.080e-04 | updates 5635/17250
Ep 50 | train_loss 1.7073, acc 0.5049 (104.8s) | val_loss 3.2421, acc 0.2303 (32.1s) | lr 4.040e-04 | updates 5750/17250
Ep 51 | train_loss 1.6939, acc 0.5079 (104.9s) | val_loss 3.1942, acc 0.2358 (32.1s) | lr 4.000e-04 | updates 5865/17250
Ep 52 | train_loss 1.6531, acc 0.5179 (104.9s) | val_loss 3.1622, acc 0.2388 (32.0s) | lr 3.959e-04 | updates 5980/17250
Ep 53 | train_loss 1.5902, acc 0.5323 (104.8s) | val_loss 3.2263, acc 0.2289 (32.1s) | lr 3.919e-04 | updates 6095/17250
Ep 54 | train_loss 1.5681, acc 0.5522 (104.8s) | val_loss 3.3195, acc 0.2189 (32.1s) | lr 3.878e-04 | updates 6210/17250
Ep 55 | train_loss 1.5559, acc 0.5424 (104.9s) | val_loss 3.2530, acc 0.2279 (32.1s) | lr 3.838e-04 | updates 6325/17250
Ep 56 | train_loss 1.4860, acc 0.5636 (104.9s) | val_loss 3.2973, acc 0.2341 (32.1s) | lr 3.798e-04 | updates 6440/17250
Ep 57 | train_loss 1.4608, acc 0.5813 (104.9s) | val_loss 3.2798, acc 0.2374 (32.1s) | lr 3.757e-04 | updates 6555/17250
Ep 58 | train_loss 1.4120, acc 0.5976 (104.9s) | val_loss 3.3989, acc 0.2420 (32.1s) | lr 3.717e-04 | updates 6670/17250
Ep 59 | train_loss 1.3995, acc 0.5861 (104.9s) | val_loss 3.3451, acc 0.2347 (32.1s) | lr 3.676e-04 | updates 6785/17250
Ep 60 | train_loss 1.3588, acc 0.6030 (104.9s) | val_loss 3.3910, acc 0.2339 (32.1s) | lr 3.636e-04 | updates 6900/17250
Ep 61 | train_loss 1.3333, acc 0.6087 (104.9s) | val_loss 3.3718, acc 0.2303 (32.1s) | lr 3.596e-04 | updates 7015/17250
